partno,desc,stdpack_min,stdpack_max,rate,customer
FGFOGO00009-CU-02,CX727 Primary Front LH,154,154,96.6,Ford
FGFOGO00009-NA-02,CX727 Primary Front LH,1,154,96.6,Ford
FGFOGO00009-SE-02,CX727 Primary Front LH,1,154,96.6,Ford
FGFOGO00010-CU-02,CX727 Primary Front RH,154,154,96.6,Ford
FGFOGO00010-NA-02,CX727 Primary Front RH,1,154,96.6,Ford
FGFOGO00010-SE-02,CX727 Primary Front RH,1,154,96.6,Ford
FGFOGO00011-CU-02,CX727 Primary Rear LH,154,154,96.6,Ford
FGFOGO00011-GPIRS-02,CX727 Primary Rear LH,1,154,96.6,Ford
FGFOGO00011-NA-02,CX727 Primary Rear LH,1,154,96.6,Ford
FGFOGO00011-SE-02,CX727 Primary Rear LH,1,154,96.6,Ford
FGFOGO00012-CU-02,CX727 Primary Rear RH,154,154,96.6,Ford
FGFOGO00012-GPIRS-02,CX727 Primary Rear RH,1,154,96.6,Ford
FGFOGO00012-NA-02,CX727 Primary Rear RH,1,154,96.6,Ford
FGFOGO00012-SE-02,CX727 Primary Rear RH,1,154,96.6,Ford
FGFOGO00019-CU-02,CX727 Hood Seal Frunk,132,132,96.6,Magna
FGFOGO00019-CU-03,CX727 Hood Seal Frunk,132,132,96.6,Magna
FGFOGO00019-NA-02,CX727 Hood Seal Frunk,1,132,,Magna
FGFOGO00019-NA-03,CX727 Hood Seal Frunk,1,132,,Magna
FGFOGO00019-SE-02,CX727 Hood Seal Frunk,1,132,,Magna
FGFOGO00019-SE-03,CX727 Hood Seal Frunk,1,132,,Magna
